Gheff
Earned	Spent	Total	Last Raid	Last 30	Last 60
2,188	2,128	60	2025-10-28	0/37 (0%)	0/65 (0%)

Current DKP - NAGD Pool commenced 1 Jan 2018 Pool
Earned	Spent	Total	Last Raid	Last 30	Last 60
2,178	2,118	60	2025-10-28	0/37 (0%)	0/65 (0%)

Item History
Item	Spent	Date	Raid Name	Event
[Shroud of Emerald Vines] 	9	2018-08-18	Snakes - SSRA 8/17	1 Hour Single/Double Boxing
[serrated tear] 	2	2018-08-15	DOZE AND DRAKES	1 Hour Single/Double Boxing
[Sage Headdress of Consciousness] 	16	2018-08-14	8/14/18 BURROWER	1 Hour Single/Double Boxing
[Boots of the Storm] 	15	2018-08-06	8/6/2018 KAEL BOSSES	1 Hour Single/Double Boxing
[Breastplate of Eradication] 	6	2018-07-26	7/26/2018 KAEL BOSSES & SERU	1 Hour Single/Double Boxing
[Celestial Essence Robe] 	3	2018-07-12	Yelinak RW Velk 7/12	On-Time attendance
[Crimson Robe of Alendine] 	2	2018-06-29	29June - PoFear Cazic	1 Hour Single/Double Boxing
[Runed Tear] 	2	2018-06-28	28June - Dozekar, Drakes, Velk	1 Hour Single/Double Boxing
[Clawed Guardian Bracer] 	6	2018-06-19	19June - UDB Trak and Sleepers Tomb	1 Hour Single/Double Boxing
[green resistance stone] 	4	2018-06-13	ST/Velk 6/13	1 Hour Single/Double Boxing
[Shield of the Clawed Guardian] 	2	2018-06-13	ST/Velk 6/13	1 Hour Single/Double Boxing
[Orb of the Deep Sea] 	4	2018-06-08	8June - NTOV day1	1 Hour Single/Double Boxing
[Eye of Narandi] 	2	2018-06-06	6June - Zlandicar, RingWar	1 Hour Single/Double Boxing
[Faceguard of Bentos the Hero] 	2	2018-06-06	6June - Zlandicar, RingWar	1 Hour Single/Double Boxing
[Harla Dar's Talisman] 	5	2018-06-01	1June - Harla Dar and Zlandicar	On-Time attendance
[Poison Tear] 	20	2018-05-29	Doze/Drakes/HoT 5/29	1 Hour Single/Double Boxing
[Ring of Winter] 	3	2018-05-19	5/19/2018 DAIN	1 Hour Single/Double Boxing
[White Dragon Scale Sash] 	6	2018-05-15	KT Statue AoW 5/15	1 Hour Single/Double Boxing
[White Resistance Stone] 	3	2018-05-14	ST & Ring War 5/14	1 Hour Single/Double Boxing
[Helmet of Rallos Zek] 	16	2018-05-09	Statue & AoW 4/9	1 Hour Single/Double Boxing
[Spirit Weavers Breastplate]	2	2018-04-21	21 April - Plane of Growth	1 Hour Single/Double Boxing
[Frostreaver's Velium Crown] 	2	2018-04-16	16April - Dains	1 Hour Single/Double Boxing
[serrated tear] 	5	2018-04-11	Doze/Drakes/HoT 4/11	1 Hour Single/Double Boxing
[Breastplate of Eradication] 	16	2018-04-03	KT Statue AoW 4/3	1 Hour Single/Double Boxing
[Ring of Lightning] 	8	2018-04-03	KT Statue AoW 4/3	On-Time attendance
[Primal Velium Spear] 	2	2018-03-27	ST	1 Hour Single/Double Boxing
[Primal Velium Battle Axe] 	2	2018-03-21	3/21/18 SLEEPERS TOMB/TRAKANON	1 Hour Single/Double Boxing
[primal velium reinforced bow] 	3	2018-03-21	3/21/18 SLEEPERS TOMB/TRAKANON	1 Hour Single/Double Boxing
[Cracked Claw of Zlandicar] 	2	2018-03-13	13March - Zlandicar and Klandicar	On-Time attendance
[Axe of the Kromzek Kings] 	3	2018-03-06	6March - Kael KT, Statue, AOW	1 Hour Single/Double Boxing

Raid History
Raid Name	Raid Date	Earned
Time Day 1	2025-10-28	5
Time Day 2	2025-10-02	5
Time Day 1	2025-09-30	5
MB + TZ/VZ + Tantisala/Mud/Dust Ring	2025-09-24	4
Fire Minis + Fennin	2025-09-23	3
Time Day 1	2025-09-16	5
Time Day 1	2025-09-02	4
Time Day 1 8-19-25	2025-08-19	6
Time Raid - Spices!!	2025-08-07	5
Time Day 1 8-5-25	2025-08-05	6
Time Day 1 7-22-25	2025-07-22	3
Time Day 1 7-8-25	2025-07-08	4
Time Day 2 6-26-25	2025-06-26	2
Time Day 1 6-24-25	2025-06-24	5
Time Day 2 6-12-25	2025-06-12	2
Plane of Time Day 1: 4-29-25	2025-04-29	6
Rathe Council 4-22-25	2025-04-22	2
PoE B Thru Ginto 4-21-25	2025-04-21	2
Time Day 2 3-20-25	2025-03-20	3
TIME Day 2 3-6-25	2025-03-06	2
Time Day 1 3-4-25	2025-03-04	6
Vex Thal 2-26-25	2025-02-26	3
Time Day 1 2-18-25	2025-02-18	6
PoTimeDay 2 LootFest	2025-02-06	4
Time day 1 2-4-25	2025-02-04	6
Time Day 1 1-21-25	2025-01-21	6
Water Minis 1-20-25	2025-01-20	2
Time Day 2 Post XMAS Hangover	2025-01-09	4
First 2025 Time Loots	2025-01-07	6
Rock Ring	2024-12-18	2
Time Day 1	2024-12-17	6
MB + RZTW and Dependants	2024-12-10	2
Mohr Time 4 Kittens	2024-12-05	4
TIME to save Kittens	2024-12-03	6
vex thal	2024-11-18	3
Mohr Time Knights	2024-11-14	3
Time 4 Alt Gear	2024-11-12	6
Tower of Dumb Stairs	2024-11-06	4
TimeB GK Slacks	2024-10-30	2
Plane of Time Day 1	2024-10-29	5
TIME GK was late	2024-10-15	5
Rangers Hate Water Minis + Corinav	2024-10-08	2
Carprin and Snakes	2024-10-07	2
TimeB Raid	2024-10-03	3
Splish Splash MINIS Bath	2024-10-02	2
Escape from ringworm TIME run	2024-10-01	6
Rallos, Cursed, Emp	2024-09-26	3
PoE2 Kill	2024-09-24	2
Ginto POEB	2024-09-23	2
Time Loot 4 All	2024-09-19	3
VT Smashing	2024-09-18	3
What? Time Day?!?	2024-09-17	6
VT Funz	2024-09-11	3
Earth Stuff	2024-09-10	3
BunchOFlags	2024-09-09	3
PoTime Day2 Slay the Dragon	2024-09-05	2
Time Raid 0903	2024-09-03	6
Drums and Fire	2024-08-28	3
Time Day 2	2024-08-22	3
Time to Raid Time	2024-08-20	6
Fire Raid - Soothing Balm	2024-08-15	3
SolRo FLAME ON!	2024-08-14	4
Saryn Dance + Snakes	2024-08-12	3
Mohr Time B	2024-08-08	4
Rallos Zek and Mith Marr	2024-08-07	3
Late for TIME	2024-08-06	6
PoW Minis	2024-08-05	2
POW Full Clear	2024-07-31	2
Poopy Flags	2024-07-29	3
Brats TIME	2024-07-25	3
Its TIME Raid!	2024-07-23	6
Grummas+Carprin+Bertox FUN	2024-07-18	3
Plane of Earth A Clear	2024-07-16	3
TimeB Strike	2024-07-11	4
POEA-Rock Ring	2024-07-10	2
Post Walex Time	2024-07-09	6
fire smalls and seru biggie	2024-07-01	3
Bye Walex Time Raid	2024-06-27	3
Time Raid	2024-06-25	6
Damn it's hot outside	2024-06-24	3
Bye Walex Bye - Air Rings	2024-06-20	4
Time Day 2	2024-06-13	3
Time Raid	2024-06-11	6
water maxis und storm lord ja	2024-06-10	3
Water Minis & Solro	2024-06-05	3
Xegony FUN	2024-06-04	2
VT Run	2024-06-03	3
TIME to sink our toofs into it!	2024-05-30	3
PoTime Lewts	2024-05-28	6
Xegony FUN	2024-05-27	2
VT GearFest	2024-05-23	3
Time again	2024-05-16	3
Dizzy Loot Time	2024-05-14	6
Water Minis Raid	2024-05-13	2
wMinis and Buttface	2024-05-09	2
HoH and LMM	2024-05-07	3
Fire minis+Fennin FUN	2024-04-25	3
Extra Booty Time	2024-04-18	6
Time to Loot!	2024-04-16	7
Full EarthB: No Rock Left Unturned	2024-04-11	1
VT Fun	2024-04-10	3
FlagBacks - Bert und AD	2024-04-09	1
Revenge of the Luclin Leaders	2024-04-08	3
YAMTRA - Yet Another Moo TIme Raid Again	2024-04-04	7
Killing It In Time	2024-04-02	6
Dress Run - Xegy	2024-04-01	2
Little Green Snakes + Big Man SS	2024-03-28	3
Lots of Flags	2024-03-26	3
Time Day 2 MarchMadness	2024-03-21	6
The March of Times	2024-03-19	3
PoWater Bath	2024-03-13	3
Dusty Drums	2024-03-12	5
Yep! Time Day2!	2024-03-07	8
Time .. WHA.. Again??	2024-03-05	5
PoAir Panty Raid	2024-02-29	2
PoEarth- Stupid Drums	2024-02-28	2
Fire Raid - Soothing Balm	2024-02-27	3
Baby Flags - MB-TZ-RZ-Agnarr	2024-02-21	3
Time Day 1	2024-02-20	6
Fyre Lewts	2024-02-19	2
Fire Kills	2024-02-15	3
VT Raid	2024-02-13	4
Saturday Night Time	2024-02-10	1
Smash Quarm	2024-02-08	7
TIME for Pets	2024-02-06	7
VT-Day2-SWARM!!	2024-02-01	3
VT-Crush-Always-Here	2024-01-31	3
SSra-Again!	2024-01-30	2
TimeGear	2024-01-25	8
Earth 2B	2024-01-24	2
Time_Lewts	2024-01-23	6
SSRA-EMP-VTFlags	2024-01-18	2
Earth Bs	2024-01-17	2
Wet and Wild with BONUS MAYONG	2024-01-16	3
Time Yet Again	2024-01-11	7
Time Destroyers	2024-01-09	7
PoEb + Water Minis Raid	2024-01-04	2
PoEb Ginto Smash	2024-01-03	2
Lucky Last ROCKIN good time	2023-12-30	2
PoTime Before New Years	2023-12-28	6
Xmas Drummer Boyz	2023-12-27	2
XmasTime	2023-12-26	7
XegyFlags	2023-12-21	2
Earth Flags	2023-12-20	4
Fire Flag Run	2023-12-18	3
PoTime-B-God-Smashers	2023-12-14	7
PoTime	2023-12-12	7
Fiery PoF Loots	2023-12-11	2
FyreFestivle	2023-12-07	2
Time Day 2 LootFest	2023-12-06	7
YetMoreTimeLoot	2023-12-05	7
WhoDaFuQIsKaerilai-VTRun	2023-12-03	3
VT Choo Choo	2023-11-30	2
More_VT_Things	2023-11-26	4
EmpKillers	2023-11-20	2
TooManySteps	2023-11-15	4
LastChanceBertLineFLags	2023-11-13	4
NFL_on_PRIME_TacticsRun	2023-11-09	4
TimeB Night again	2023-11-08	7
TimeAfterTime	2023-11-07	7
Water Minis	2023-11-06	2
AD-HoH-MM Flags	2023-11-02	3
Nasty B word Raids	2023-10-30	3
Time Raid	2023-10-24	7
PoE Drum Run	2023-10-17	2
PoE and Time	2023-10-11	7
Time for Time	2023-10-10	7
PoFire Funz	2023-10-09	3
FireFeast	2023-10-03	4
Dad Joke TIME	2023-09-27	7
Time.. yet again ><	2023-09-26	7
VT- Fix The Mage	2023-09-25	3
VT Clear yet again	2023-09-21	4
PoTime XXmoLewtsXX	2023-09-13	7
PoTime xxLEWTSxx	2023-09-12	7
Curse-EmpRaid	2023-09-11	2
WhyKillGuildies PoEb	2023-09-06	2
TimeB Night	2023-08-30	7
Idalia Time Raid	2023-08-29	7
Saryn Funz	2023-08-23	2
Bearracuda	2023-08-22	3
Rathe Council again	2023-06-28	2
PoEb + Ginto	2023-06-27	2
All About that PoWater Face	2023-06-12	3
Time Night 2	2023-06-07	7
PoTime Run	2023-06-06	7
FatBastard+TLucentDragon	2023-06-01	2
PoE Clear	2023-05-30	4
