Current DKP (Including Alts) - NAGD Pool commenced 1 Jan 2018 Pool This character is a main
Earned	Spent	Total	Last Raid	Last 30	Last 60
1,897	1,883	14	2026-02-19	2/37 (5%)	2/69 (3%)

Current DKP - NAGD Pool commenced 1 Jan 2018 Pool
Earned	Spent	Total	Last Raid	Last 30	Last 60
1,897	1,883	14	2026-02-19	2/37 (5%)	2/69 (3%)

Item History
Item	Spent	Date	Raid Name	Event
[Shinai of the Ancients] 	71	2023-01-31	1/31/23 P1/P2/P3/P4	1 Hour Single/Double Boxing
[Gorget of Superiority] 	3	2023-01-30	VT hot Coth+ TVX fun	1 Hour Single/Double Boxing
[Glowing Steel Shim] 	3	2023-01-26	MB+RZ+TZ/VZ	1 Hour Single/Double Boxing
[Protective Dust Drape] 	3	2023-01-26	MB+RZ+TZ/VZ	1 Hour Single/Double Boxing
[Tallon's War Charm] 	5	2023-01-26	MB+RZ+TZ/VZ	1 Hour Single/Double Boxing
[Warmaster's Recurve Longbow]	4	2023-01-26	MB+RZ+TZ/VZ	1 Hour Single/Double Boxing
[Sandals of Contemplation] 	3	2023-01-25	VT FUN	1 Hour Single/Double Boxing
[Lunar Fungus Covered Tunic] 	5	2023-01-25	VT FUN	1 Hour Single/Double Boxing
[Pulsing Emerald Hoop] 	3	2023-01-19	Plane of Time Day 2	1 Hour Single/Double Boxing
[Pants of Furious Might] 	34	2023-01-19	Plane of Time Day 2	1 Hour Single/Double Boxing
[Ring of the Crimson Bull] 	4	2023-01-18	Vex Thal Fun	1 Hour Single/Double Boxing
[Pauldrons of Purity] 	3	2023-01-17	Plane of Time Day 1	1 Hour Single/Double Boxing
[Circlet of Flowing Time] 	7	2023-01-04	Plane of Time Day 1	1 Hour Single/Double Boxing
[Earring of Corporeal Essence] 	19	2022-12-20	Time Early (is it though?)	1 Hour Single/Double Boxing
[Wand of Temporal Power] 	7	2022-12-20	Time Early (is it though?)	1 Hour Single/Double Boxing
[Elemental Gauntlet Mold] 	8	2022-12-02	Fenin + Minis	1 Hour Single/Double Boxing
[Crowned Staff of Anguish] 	2	2022-11-30	Saryn	1 Hour Single/Double Boxing
[Ring of Thunderous Forces] 	22	2022-11-11	Songtime	1 Hour Single/Double Boxing
[Elemental Silk Pant Pattern] 	7	2022-11-08	Time P1-P4	1 Hour Single/Double Boxing
[Exquisite Phoenix Feather Mantle ] 	5	2022-11-03	Xegony	1 Hour Single/Double Boxing
[Umbral Vambraces] 	3	2022-11-02	VT Raid	1 Hour Single/Double Boxing
[Timestone Adorned Ring] 	20	2022-10-27	Time P4/5	1 Hour Single/Double Boxing
[Earring of Vigor] 	2	2022-10-26	Vex Thal	1 Hour Single/Double Boxing
[Shield of the Vortex ] 	6	2022-10-11	Time P1-P3+	1 Hour Single/Double Boxing
[Sigil Earring of Veracity] 	8	2022-10-09	10/9/2022 PRAES/SERU	1 Hour Single/Double Boxing
[Yttrium Wrapped Leggings] 	4	2022-10-09	10/9/2022 PRAES/SERU	1 Hour Single/Double Boxing
[Veil of the Inferno] 	17	2022-10-06	P4-5	1 Hour Single/Double Boxing
[Ring of Algae] 	4	2022-10-03	Coirnav + Minis	1 Hour Single/Double Boxing
[Timeless Silk Robe Pattern] 	20	2022-09-29	P4+	1 Hour Single/Double Boxing
[Cap of Flowing Time] 	20	2022-09-27	SLINKYTIME P1-3	1 Hour Single/Double Boxing
[Shining Crimson Shawl] 	4	2022-09-12	Fire minis	On-Time attendance
[Timeless Leather Tunic Pattern] 	47	2022-09-06	PoTime P1-P3+more	1 Hour Single/Double Boxing
[O[Shroud of Survival] 	26	2022-09-01	Plane of Time	1 Hour Single/Double Boxing
[Elemental Silk Glove Pattern] 	6	2022-08-31	Burn Burn Burn	1 Hour Single/Double Boxing
[Shoes of Fleeting Fury] 	30	2022-08-19	PoTime P1+P4 Crush looting	1 Hour Single/Double Boxing
[Zealot's Spiked Bracer] 	16	2022-08-19	PoTime P1+P4 Crush looting	1 Hour Single/Double Boxing
[Smooth Onyx Torque] 	0	2022-08-16	PoTime P1-P3 and more	On-Time attendance
[Cloudy Steel Mask] 	6	2022-08-10	VT	1 Hour Single/Double Boxing
[wand of everlasting water] 	4	2022-08-03	VT	1 Hour Single/Double Boxing
[bracelet of darkness] 	6	2022-08-03	VT	1 Hour Single/Double Boxing
[Wand of Turning] 	4	2022-08-04	VT	1 Hour Single/Double Boxing
[Robe of Luring Shadows] 	7	2022-08-03	VT	On-Time attendance
[Velvet Slippers of Harmony] 	10	2022-08-01	EarthB and Ssra	1 Hour Single/Double Boxing
[Gebron's Demented Cloak] 	8	2022-08-01	EarthB and Ssra	1 Hour Single/Double Boxing
[Wand of Impenetrable Force] 	11	2022-07-29	PoTime P1+P4+P5	1 Hour Single/Double Boxing
[Shield of Mental Fortitude] 	4	2022-07-25	EarthB and Snakes	1 Hour Single/Double Boxing
[Runewarded Belt] 	22	2022-07-22	PoTime P1+ Funtimes	1 Hour Single/Double Boxing
[Elemental Silk Turban Pattern] 	7	2022-07-14	Rathe	1 Hour Single/Double Boxing
[Elemental Silk Sleeve Pattern] 	9	2022-07-14	Rathe	1 Hour Single/Double Boxing
[Bow of Storms] 	4	2022-07-10	Seru	1 Hour Single/Double Boxing
[Bone Sliver Ornament] 	5	2022-07-05	PoE A	1 Hour Single/Double Boxing
[Circular Crystalline Formation] 	15	2022-07-05	PoE A	1 Hour Single/Double Boxing
[Manacle of Disruption] 	9	2022-06-30	Dirty Jobs	1 Hour Single/Double Boxing
[Earring of Living Earth] 	6	2022-06-30	Dirty Jobs	1 Hour Single/Double Boxing
[Grimfaced Visor] 	5	2022-06-29	RZTW	1 Hour Single/Double Boxing
[phoenix claw talisman] 	3	2022-06-20	Fire minis and Rennin Fo	1 Hour Single/Double Boxing
[Bracer of Precision] 	35	2022-06-17	Time P1 + P4 x2 DKP	1 Hour Single/Double Boxing
[Elemental Leather Wrist Pattern] 	6	2022-06-16	Fire Minnies	1 Hour Single/Double Boxing
[Elemental Silk Turban Pattern] 	8	2022-06-08	Fennin and friends	1 Hour Single/Double Boxing
[Cloak of Ferocity] 	7	2022-06-07	6/7/2022 TIME	1 Hour Single/Double Boxing
[Gloves of the Unseen] 	23	2022-06-02	PoTime P1+P4	1 Hour Single/Double Boxing
[Protective Sleeves] 	24	2022-05-31	TIMETIME P1-3	1 Hour Single/Double Boxing
[Cape of Endless Torment] 	36	2022-05-26	Time P4	1 Hour Single/Double Boxing
[Tiny Jade Ring] 	10	2022-05-24	Time P1-P3	1 Hour Single/Double Boxing
[Wand of Tranquility] 	11	2022-05-17	VT one day only	1 Hour Single/Double Boxing
[Necklace of Celestial Energy] 	10	2022-05-12	TIME!	1 Hour Single/Double Boxing
[Elemental Silk Pant Pattern] 	25	2022-05-12	TIME!	1 Hour Single/Double Boxing
[Mask of Conceptual Energy] 	3	2022-05-03	MooTime	1 Hour Single/Double Boxing
[Mask of Conceptual Energy] 	5	2022-04-19	Time for bst pants	1 Hour Single/Double Boxing
[Elemental Silk Bracelet Pattern] 	8	2022-04-18	Davey Jones Locker	1 Hour Single/Double Boxing
[Flowing Moss Mantle] 	6	2022-04-12	Earth Rings Day 2	1 Hour Single/Double Boxing
[entropy pendant] 	4	2022-04-11	EARTH RINGS, DAY 1	1 Hour Single/Double Boxing
[Time Traveler's Abandoned Notebook] 	6	2022-04-08	TIMETIME	1 Hour Single/Double Boxing
[Stone Etched Mallet] 	28	2022-02-28	Earth Rings	1 Hour Single/Double Boxing
[Prismatic Belt of the Queztocatal] 	6	2022-02-21	AIR 2-21-22	1 Hour Single/Double Boxing
[Gloves of the Crimson Sigil] 	10	2022-02-18	vt and cursed maybe	1 Hour Single/Double Boxing
[Fangs of Vyzh`dra] 	15	2022-02-18	vt and cursed maybe	1 Hour Single/Double Boxing
[Shimmering Sleeves of Flame] 	5	2022-02-16	2/16/2022 FIRE!	1 Hour Single/Double Boxing
[Indigo Snake Bracelet ] 	4	2022-01-24	Terris Thule + Aerin'Dar + Stomach Event	1 Hour Single/Double Boxing
[Yttrium Studded Leather Boots] 	6	2021-12-23	Seru	1 Hour Single/Double Boxing
[Dagger of Thought] 	4	2021-12-17	VT Day 2	On-Time attendance
[Cerulean Sleeves] 	10	2021-12-10	VT Day 2	On-Time attendance
[Petrified Heartwood Flamberge] 	3	2021-11-16	Tunare	1 Hour Single/Double Boxing
[Savage Lord's Pitchatka] 	7	2021-11-14	AL x2	1 Hour Single/Double Boxing
[amulet of the dreadgazer] 	2	2021-10-15	NTOV CLEAR	1 Hour Single/Double Boxing
[Yttrium Studded Mantle] 	17	2021-10-14	10/14/21 Seru/KT/AoW	1 Hour Single/Double Boxing
[Eye of Darkness] 	6	2021-10-08	VT DAY TWOOOO	1 Hour Single/Double Boxing
[Shadow Pearl Earring] 	11	2021-10-08	VT DAY TWOOOO	1 Hour Single/Double Boxing
[Cloak of the Black Wind] 	4	2021-10-08	VT DAY TWOOOO	1 Hour Single/Double Boxing
[Cord of Midnight] 	3	2021-10-02	TVX	On-Time attendance
[Cloak of Icy Shadows] 	4	2021-10-02	TVX	On-Time attendance
[Azaliil's Ring of Analogies] 	33	2021-09-02	emp shei - awesome	1 Hour Single/Double Boxing
[Soul Essence of Aten Ha Ra] 	56	2021-07-23	vt day 2 stardate 2338384	1 Hour Single/Double Boxing
[Crystallized Serpent Eye] 	14	2021-06-24	Cursed + Emp	1 Hour Single/Double Boxing
[Primal Velium Battlehammer] 	3	2021-06-07	ST	1 Hour Single/Double Boxing
[Boots of the Wind] 	11	2021-05-28	VT Day 2	On-Time attendance
[Seru's Torque] 	24	2021-05-24	5/24/2021 PRAES + SERU	1 Hour Single/Double Boxing
[Ring of the Crimson Bull] 	11	2021-04-08	4/8/2021 VT DAY ONE	1 Hour Single/Double Boxing
[Leggings of Fiery Might] 	16	2021-04-08	4/8/2021 VT DAY ONE	1 Hour Single/Double Boxing
[Earring of Falling Stars] 	26	2021-04-01	VT Day 1 4/1	1 Hour Single/Double Boxing
[Cap of the Silent Star] 	2	2021-03-31	tvx	1 Hour Single/Double Boxing
[Great Helm of True Vision] 	6	2021-03-30	AL i think twice again	1 Hour Single/Double Boxing
[Crys`Va Mask] 	6	2021-03-01	3/01/2021 SHEI	1 Hour Single/Double Boxing
[Shard from Unfathomable Depths] 	7	2021-02-24	Deep Burrower Wed 24 Feb 2021	1 Hour Single/Double Boxing
[Vyemm's Fang] 	2	2021-02-20	NTOV Clear Sat 02/20/2021	1 Hour Single/Double Boxing
[Belt of the Destroyer] 	2	2021-02-20	NTOV Clear Sat 02/20/2021	1 Hour Single/Double Boxing
[Flowing Gossamer Cloak] 	6	2021-02-19	shei	1 Hour Single/Double Boxing

Raid History
Raid Name	Raid Date	Earned
Time Day 2	2026-02-19	2
Bye Walex Time Raid	2024-06-27	3
PoWater Bath	2024-03-13	3
Dusty Drums	2024-03-12	5
Beating the Drums	2024-03-09	2
Yep! Time Day2!	2024-03-07	6
Mythical Drums	2024-03-06	2
Time .. WHA.. Again??	2024-03-05	3
POEA- Rock Ring	2024-03-02	2
PoAir Panty Raid	2024-02-29	2
PoEarth- Stupid Drums	2024-02-28	2
Fire Raid - Soothing Balm	2024-02-27	3
Belated Valentime	2024-02-22	5
Baby Flags - MB-TZ-RZ-Agnarr	2024-02-21	3
Time Day 1	2024-02-20	3
Fyre Lewts	2024-02-19	2
Fire Kills	2024-02-15	3
VT Raid	2024-02-13	4
TVX kite, Seru not kite	2024-02-12	3
Saturday Night Time	2024-02-10	3
Smash Quarm	2024-02-08	5
TIME for Pets	2024-02-06	4
VT-Day2-SWARM!!	2024-02-01	3
VT-Crush-Always-Here	2024-01-31	3
SSra-Again!	2024-01-30	2
TimeGear	2024-01-25	6
Earth 2B	2024-01-24	2
Time_Lewts	2024-01-23	3
SSRA-EMP-VTFlags	2024-01-18	2
Earth Bs	2024-01-17	2
Wet and Wild with BONUS MAYONG	2024-01-16	3
Time Yet Again	2024-01-11	5
Time Destroyers	2024-01-09	4
Koirnav 420	2024-01-08	3
PoEb + Water Minis Raid	2024-01-04	3
PoEb Ginto Smash	2024-01-03	2
Grade A Earth	2024-01-02	5
Lucky Last ROCKIN good time	2023-12-30	2
PoTime Before New Years	2023-12-28	4
Xmas Drummer Boyz	2023-12-27	2
XmasTime	2023-12-26	4
Mayong the Rocks	2023-12-23	2
XegyFlags	2023-12-21	1
Earth Flags	2023-12-20	4
Fire Flag Run	2023-12-18	3
PoTime-B-God-Smashers	2023-12-14	5
PoTime	2023-12-12	4
Fiery PoF Loots	2023-12-11	2
FyreFestivle	2023-12-07	2
Time Day 2 LootFest	2023-12-06	5
YetMoreTimeLoot	2023-12-05	4
Monday Night Seru	2023-12-04	2
WhoDaFuQIsKaerilai-VTRun	2023-12-03	3
VT Choo Choo	2023-11-30	2
Seru's HDTVX	2023-11-27	3
More_VT_Things	2023-11-26	4
Time for Giving	2023-11-22	6
Time for Thanks	2023-11-21	4
EmpKillers	2023-11-20	2
TooManySteps	2023-11-15	4
LastChanceBertLineFLags	2023-11-13	4
House of Snakes	2023-11-10	2
NFL_on_PRIME_TacticsRun	2023-11-09	4
TimeB Night again	2023-11-08	5
TimeAfterTime	2023-11-07	4
Water Minis	2023-11-06	2
AD-HoH-MM Flags	2023-11-02	3
Fish Food	2023-11-01	3
Nasty B word Raids	2023-10-30	3
Water the Hedges	2023-10-26	2
Project Kill Quarm Tonight	2023-10-25	5
Time Raid	2023-10-24	4
Rocking the Air	2023-10-23	3
Vulak "Take Out the Garbage"	2023-10-22	4
The Rock!	2023-10-20	2
High on Xegony	2023-10-19	2
PoE and Time	2023-10-11	6
Time for Time	2023-10-10	4
PoFire Funz	2023-10-09	3
Full of Abashi~	2023-10-08	4
FireFeast	2023-10-03	4
Saturday Night Time Live!	2023-09-30	4
Spittin' HOT FIRE	2023-09-28	2
Dad Joke TIME	2023-09-27	5
VT- Fix The Mage	2023-09-25	3
Praise Seru TV	2023-09-18	3
Hall of Vex	2023-09-14	4
PoTime XXmoLewtsXX	2023-09-13	5
PoTime xxLEWTSxx	2023-09-12	4
Curse-EmpRaid	2023-09-11	2
2B or Not 2B	2023-09-05	2
Earthen Snakes	2023-08-31	4
TimeB Night	2023-08-30	5
Idalia Time Raid	2023-08-29	4
Fish Outta Water	2023-08-28	3
Saryn Funz	2023-08-23	2
Bearracuda	2023-08-22	3
splishy splashy	2023-08-17	2
Fall on Time!	2023-08-16	5
Plane of Timmy	2023-08-15	4
Time to Rock	2023-08-02	7
Single Box Time! Maybe	2023-08-01	4
Fire in the Hole!	2023-07-31	2
Fire not gud	2023-07-27	2
Fire, No Ro	2023-07-25	2
The Drudgery of Sol Ro	2023-07-24	4
PyROmancer	2023-07-20	4
Quarm Snacc	2023-07-19	5
Rewind of Time	2023-07-18	4
Valex Thall	2023-07-14	4
TVXXX	2023-07-13	2
Shei's X TV	2023-07-10	2
TV Fireworks	2023-07-07	4
Quarm Heads Bursting in Time	2023-07-06	5
Time for Independence	2023-07-05	5
MF Snakes on Earth Plane	2023-07-03	3
FREE TV	2023-06-29	4
Rathe Council again	2023-06-28	2
PoEb + Ginto	2023-06-27	2
Cursed Snake Charmer	2023-06-23	2
Make Quarm Squirm	2023-06-22	5
Dirty Dirt	2023-06-21	2
Time for Thyme	2023-06-20	4
So much Squid loot	2023-06-19	3
Goth Girls forever	2023-06-15	2
Trials of Honor	2023-06-13	3
All About that PoWater Face	2023-06-12	3
Fishy Fishy Little Fish	2023-06-08	2
Time Night 2	2023-06-07	5
PoTime Run	2023-06-06	4
Drums of Nightmare	2023-06-05	2
The Drum Line	2023-06-02	2
FatBastard+TLucentDragon	2023-06-01	2
PoE Clear	2023-05-30	4
Rock Ring without Drums	2023-05-27	2
Earth and Time	2023-05-24	5
P1 Time Raid	2023-05-23	5
Fire! Fire! Fire!!!!	2023-05-22	3
MB and ZeeMobs	2023-05-18	3
Grummus+Carp+Agnarr	2023-05-16	2
Minis & Fenin	2023-05-15	3
Fennin+Minis	2023-05-11	4
Time Day 2	2023-05-10	8
Time Raid	2023-05-09	5
Xegy + non DKP Kael, ST	2023-05-08	2
May the fourth be with Seru	2023-05-04	2
SolRo Run	2023-05-03	4
PoAir Round2	2023-05-01	2
Xegy+Praes+Seru	2023-04-27	3
Time Again x 13141	2023-04-26	8
A Dream of Time	2023-04-25	5
Tormenting Nightmares	2023-04-24	3
VTClear!	2023-04-20	4
AD+HoH+LMM	2023-04-19	3
TVX + HotCoth Bonus	2023-04-17	2
VT Clarence	2023-04-13	4
PoTime Quarmnights	2023-04-12	8
PoTime	2023-04-11	4
Earth Minis + Curse/Emp	2023-04-10	3
RZTW + Agnarr	2023-04-06	3
Rathe Council	2023-04-05	3
PoE B + Ginto	2023-04-04	2
SSRA Night!	2023-03-31	2
PoTime (If Available)	2023-03-29	9
PoTime	2023-03-28	4
Corinav + Water Minis	2023-03-27	3
Carprin+Bert	2023-03-23	2
Xana (nonDKP)/MB/TZ/VZ	2023-03-22	2
Corinav + Water Minis	2023-03-20	3
Corinav + Water Minis	2023-03-16	3
PoTime Night 2	2023-03-15	8
PoTime Lewts!	2023-03-14	4
Rock & Mud Rings Fun	2023-03-13	2
Rock Ring - Drop them drums!	2023-03-10	2
Toliet Run - Grummus/Carprin	2023-03-09	2
Return to VULAK!	2023-03-08	4
All Rocks Must Die PoEa Clear	2023-03-07	4
3/4/23 Rock Ring	2023-03-04	2
Rock and Quarm	2023-03-01	8
TIME p1-4 FUN	2023-02-28	5
Fenin+ Fire Minis FUN	2023-02-27	3
Rathe Council FUN	2023-02-24	2
2/23/23 POE B THRU GINTO	2023-02-23	2
SolRo	2023-02-22	4
Agnarr	2023-02-21	2
2/20/23 FIRE MINIS	2023-02-20	2
PoTime Cleanup	2023-02-17	10
PoTime Thursdays	2023-02-16	4
Fennin+Fire minis FUN	2023-02-15	3
Xegony + Seru FUN	2023-02-13	3
2/9/23 BERT & SARYN FUN	2023-02-09	3
AD+ HOH+ LMM + FUN	2023-02-08	3
Xegony+ Seru Fun	2023-02-06	3
QUARM	2023-02-02	8
2/1/23 P5/QUARM	2023-02-01	5
1/31/23 P1/P2/P3/P4	2023-01-31	5
VT hot Coth+ TVX fun	2023-01-30	2
MB+RZ+TZ/VZ	2023-01-26	3
VT FUN	2023-01-25	4
TT/Grummas/Carprin FUN	2023-01-23	2
P6 Quarm	2023-01-20	2
Plane of Time Day 2	2023-01-19	4
Vex Thal Fun	2023-01-18	4
Plane of Time Day 1	2023-01-17	5
MM/cursed/emp	2023-01-16	3
Rathe Council	2023-01-11	2
PoE B	2023-01-10	2
Ssra Fun	2023-01-08	2
Quarmpocalypse	2023-01-06	13
Quarmtime	2023-01-05	4
MM and Earth?	2023-01-04	3
Plane of Time Day 1	2023-01-03	5
Coirnav and minis	2023-01-02	3
Sseru Fun	2022-12-30	2
TOSR	2022-12-29	4
Saryn	2022-12-27	2
Corny fish	2022-12-26	3
Seru	2022-12-23	2
Quarm 20%	2022-12-22	4
PHASE 6 moo	2022-12-21	6
Time Early (is it though?)	2022-12-20	5
grummus carp bert rockring?	2022-12-19	4
Ring(s) Earth -	2022-12-16	3
RZ VZ TZ AGNARR	2022-12-15	4
POE A full clear	2022-12-13	5
Rock ring	2022-12-10	2
Quarmoo	2022-12-09	7
Time p5	2022-12-08	5
Dirty Rings PoE A	2022-12-07	3
PoT Day 1	2022-12-06	4
MB RTZW	2022-12-05	3
Fenin + Minis	2022-12-02	4
Terris	2022-11-30	1
Saryn	2022-11-30	2
AD HOH LMM MOO	2022-11-29	4
Fire = Bad	2022-11-28	4
Fennin + Minis	2022-11-23	5
Time P1-P4	2022-11-22	4
MB - Carp	2022-11-21	2
Xegony	2022-11-18	2
random mobs - not backflagging	2022-11-17	3
Xegony The Rainbow Warrior	2022-11-14	2
Songtime	2022-11-11	3
time of moo	2022-11-10	4
Xegony	2022-11-09	2
Time P1-P4	2022-11-08	4
Xegony	2022-11-03	2
VT Raid	2022-11-02	4
TXD/TVX	2022-11-01	2
INNYQUARM: THE ULTIMATE SHOWDOWN	2022-10-28	3
Time P4/5	2022-10-27	5
Vex Thal	2022-10-26	5
Time P1-P4	2022-10-25	4
PoEB minis and curse/emp	2022-10-24	3
Time P1-4	2022-10-18	5
POEB minis/Ssra leadership	2022-10-17	3
poeb	2022-10-13	3
Ginto	2022-10-12	3
Time P1-P3+	2022-10-11	4
COIRNAV AND SONS	2022-10-10	3
10/9/2022 PRAES/SERU	2022-10-09	2
Time P4+	2022-10-07	5
P4-5	2022-10-06	4
Time P1-4	2022-10-04	4
Coirnav + Minis	2022-10-03	4
Seru	2022-10-02	2
PoTime Inny & Quarm	2022-09-30	5
P4+	2022-09-29	4
Water minis	2022-09-28	2
SLINKYTIME P1-3	2022-09-27	4
Earth Stone Ring	2022-09-25	2
Time P5 + Quarm	2022-09-23	5
Time P4+	2022-09-22	5
Plane of Time P1-4	2022-09-20	5
rock ring mebe mud	2022-09-19	2
POEA Full clear	2022-09-14	4
Fire minis	2022-09-12	3
PoTime P1+P5	2022-09-08	4
PoTime P1-P3+more	2022-09-06	6
Fire Mini's no Fennin	2022-09-05	3
PoTime Gods	2022-09-02	5
Plane of Time	2022-09-01	6
Burn Burn Burn	2022-08-31	3
PoTime P1-P3+Bert	2022-08-30	6
ABCDKP	2022-08-26	6
Death of DKP channels	2022-08-25	8
Xegony 8-24	2022-08-24	3
Lord of Hate P5	2022-08-23	6
PoTime P1+P4 Crush looting	2022-08-19	5
Time To Kill	2022-08-18	6
Xegony You Go Girl	2022-08-17	2
PoTime P1-P3 and more	2022-08-16	9
All in Friday	2022-08-12	7
PoTime P1+P4	2022-08-11	3
VT	2022-08-10	4
PoTime P1+P3+P5	2022-08-09	4
Godswilldie	2022-08-05	7
PoTime P1+P4	2022-08-04	5
VT	2022-08-03	5
Bert 1 shot!	2022-08-02	8
EarthB and Ssra	2022-08-01	3
PoTime P1+P4+P5	2022-07-29	7
PoTime P1+P4+	2022-07-28	7
P1 - P3	2022-07-26	4
EarthB and Snakes	2022-07-25	3
PoTime P1+ Funtimes	2022-07-22	6
7/21/22 RATHE COUNCIL	2022-07-21	2
